"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.982199553989775,0.902693498452012,0.952539184952978,0.935172321689412,0.856936752863861,0.00381906271586357,0.0215906723508406,0.0117806865276067,0.00884073971807009,0.0194994491347742,FALSE,0.1,TRUE
"tree",FALSE,50,0.981891836050265,0.908551771585827,0.94833855799373,0.934477609448687,0.855830807180129,0.00387017273976856,0.0262259706970161,0.012333414961409,0.0107407034212941,0.0238464499246684,FALSE,0.1,TRUE
"rules",FALSE,100,0.98261632013527,0.903391812865497,0.953166144200627,0.935825883727724,0.858334586819155,0.00382512380232279,0.02518404136134,0.0119396362626926,0.0101190264013033,0.0224814125252207,FALSE,0.1,TRUE
"tree",FALSE,100,0.982282446542936,0.90890264877881,0.949467084639498,0.935335586995534,0.857667800203003,0.0038233909557455,0.0244381871525016,0.0116545471309364,0.0103502939139376,0.0229419087362189,FALSE,0.1,TRUE
"rules",FALSE,50,0.981754373024577,0.898601995184038,0.952789968652038,0.933904594966821,0.853936836245226,0.00438296611153968,0.0251806117519354,0.0105103245618102,0.0100426522209483,0.0224998568004424,FALSE,0.25,TRUE
"tree",FALSE,50,0.981557874032306,0.908681114551084,0.948150470219436,0.934395058636952,0.855677584779274,0.00450027306494002,0.0232617271877974,0.0111725690275885,0.00972820149625235,0.0215659610560616,FALSE,0.25,TRUE
"rules",FALSE,100,0.982485676666311,0.900363949088407,0.952727272727273,0.934476774758983,0.855271376231606,0.00428543900933158,0.024422190953069,0.0104419823676057,0.00995488802375193,0.0222558423218907,FALSE,0.25,TRUE
"tree",FALSE,100,0.982114661076442,0.908565531475748,0.94858934169279,0.934639956596135,0.85616264613767,0.0043084719678747,0.0239137086406586,0.00987255158309387,0.00869855107877341,0.0194862187085364,FALSE,0.25,TRUE
"rules",FALSE,50,0.981571867926624,0.896610939112487,0.952413793103448,0.93296640373941,0.851849094885968,0.00392057936450032,0.0246958266580749,0.0123407301065847,0.00978289310947726,0.0217557120187696,TRUE,0.1,TRUE
"tree",FALSE,50,0.981866068607501,0.905157894736842,0.948652037617555,0.933497683736071,0.853526102706021,0.00424020957167518,0.0260686347152856,0.0110766622783576,0.0102862307567386,0.0229714041124999,TRUE,0.1,TRUE
"rules",FALSE,100,0.982092827495625,0.897894048847609,0.9541065830721,0.934519176995952,0.855211417519126,0.00404069629529523,0.0233129314298849,0.0109284722204529,0.00982937428740688,0.0218865669051862,TRUE,0.1,TRUE
"tree",FALSE,100,0.982119395082457,0.907038871689027,0.949216300940439,0.934519510871833,0.855814948281074,0.00405558193311582,0.0242733298851409,0.0105406200590594,0.0098010583605399,0.0218412704736201,TRUE,0.1,TRUE
"rules",FALSE,50,0.981688683568901,0.90059993120055,0.952664576802508,0.93452076290639,0.855385586639042,0.00455295541754919,0.025299647925563,0.0111193094652352,0.0107588419110525,0.0239924177005118,FALSE,0.1,FALSE
"tree",FALSE,50,0.981556101206363,0.904705194358445,0.94871473354232,0.933376570260006,0.853262964542156,0.00466416072475145,0.0261564745558431,0.0124066956173204,0.0122168770847532,0.0270631524924444,FALSE,0.1,FALSE
"rules",FALSE,100,0.982181299490043,0.90177571379429,0.953291536050157,0.93533867534744,0.857197847211315,0.00446988298902014,0.0260207550011798,0.011936948441793,0.0115197179779266,0.0256033259097265,FALSE,0.1,FALSE
"tree",FALSE,100,0.981892625410721,0.905643618851049,0.94884012539185,0.933786486373691,0.854182044422836,0.0045943228794607,0.0257408793209257,0.0114776848661496,0.0115739031745789,0.025715806402245,FALSE,0.1,FALSE
"rules",FALSE,50,0.981977620768376,0.893081527347781,0.953981191222571,0.932761237010141,0.851149150628571,0.00374016718425287,0.0229914105146641,0.00942441303212961,0.0100181968265256,0.022488450287766,TRUE,0.1,FALSE
"tree",FALSE,50,0.981757466843087,0.902465772273822,0.94846394984326,0.932435040273778,0.851154928279507,0.00393848587687103,0.0185669274743065,0.0101758512757537,0.00780457885764272,0.0171817833184305,TRUE,0.1,FALSE
"rules",FALSE,100,0.982518726282792,0.89612865497076,0.954043887147335,0.933864613329995,0.853707035239076,0.00362665974093398,0.0219462037645242,0.0100059254981387,0.00995412759804716,0.0222010042217416,TRUE,0.1,FALSE
"tree",FALSE,100,0.982323890123613,0.904571035431717,0.94833855799373,0.93308843537415,0.852670104441569,0.00374117198970519,0.0193523393122811,0.010236373228168,0.00883737757070274,0.0194813553026529,TRUE,0.1,FALSE
"rules",FALSE,50,0.982130197027389,0.894727898176815,0.954420062695925,0.933618630274196,0.853113305958538,0.0034869526432596,0.0233324380530915,0.012811482681465,0.00900954351029419,0.0199446967840223,TRUE,0.25,FALSE
"tree",FALSE,50,0.982051780751898,0.908793257653939,0.948401253918495,0.934598055172989,0.856154878109644,0.00360577365616303,0.0213098076419754,0.0132727949348106,0.00960683112362887,0.0209262796486717,TRUE,0.25,FALSE
"rules",FALSE,100,0.982815851479458,0.89437564499484,0.955548589341693,0.934231375985977,0.854348035500672,0.00348798991143289,0.0274938539746897,0.012989946701396,0.0101548157160912,0.0227534712662712,TRUE,0.25,FALSE
"tree",FALSE,100,0.982437867519003,0.908207774337805,0.949592476489028,0.935170819247945,0.857300857946158,0.00347763409180828,0.0215742021440768,0.0119132358009263,0.00878857339369003,0.0193152064396529,TRUE,0.25,FALSE
