"model","winnow","trials","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","noGlobalPruning","CF","fuzzyThreshold"
"rules",FALSE,50,0.96930370427883,0.852050223598211,0.928965517241379,0.902166270189057,0.783713650878761,0.0056879795990882,0.0312132299264069,0.0145748590385003,0.0131618199933364,0.0294924553226072,FALSE,0.1,TRUE
"tree",FALSE,50,0.969929969061815,0.861075335397317,0.925956112852665,0.903350527941238,0.787070671616744,0.00526908401554842,0.0289529183344912,0.0138304204371345,0.0113251487550749,0.0252935502037918,FALSE,0.1,TRUE
"rules",FALSE,100,0.970135235131285,0.851232198142415,0.932476489028213,0.904167522223613,0.787762323548864,0.00546350460597781,0.02977224826664,0.0129979724284636,0.0117862864302965,0.0265912374119256,FALSE,0.1,TRUE
"tree",FALSE,100,0.97039503608736,0.862251805985552,0.926708463949843,0.904249405283586,0.789050016994177,0.00541537371522948,0.0289571114179324,0.0144265978354422,0.012052581346075,0.0268579408485368,FALSE,0.1,TRUE
"rules",FALSE,50,0.969218077001465,0.849359477124183,0.932476489028213,0.903512457743834,0.78627310346734,0.00531985319938063,0.026654491618489,0.0145555823015627,0.0111785053153458,0.0248338372110259,FALSE,0.25,TRUE
"tree",FALSE,50,0.969091565812928,0.863190230478156,0.925830721003135,0.904002671007053,0.788664651591912,0.00518595886564208,0.0277789142995263,0.0156881773086458,0.012169475700159,0.0267941235006444,FALSE,0.25,TRUE
"rules",FALSE,100,0.970066843302244,0.849006535947712,0.933918495297806,0.904328784274446,0.787930472039172,0.00508472593469503,0.0262935061509591,0.0143980717569579,0.0109604825705103,0.0244399997994446,FALSE,0.25,TRUE
"tree",FALSE,100,0.969949662095493,0.861666322669419,0.927460815047022,0.904533283251951,0.789625108533038,0.00496338137785029,0.025076328739825,0.0150407563778955,0.0113905708679506,0.0249932308126024,FALSE,0.25,TRUE
"rules",FALSE,50,0.969532597243924,0.849580323357413,0.932037617554859,0.903307040607654,0.785801828858211,0.00616808945639443,0.0307857375358962,0.0129860864131992,0.0132304915439673,0.0298453535487994,TRUE,0.1,TRUE
"tree",FALSE,50,0.969987255926404,0.856139662882697,0.927648902821317,0.902735278160344,0.78530086796811,0.00575896204430932,0.0291455253808965,0.0133425701384943,0.0129934496830203,0.0290603067905692,TRUE,0.1,TRUE
"rules",FALSE,100,0.970257711091916,0.851572067423461,0.933855799373041,0.905186928759234,0.789874634320936,0.00605390007509187,0.0322784657576751,0.0127650629769272,0.0135336908342433,0.0306608093459137,TRUE,0.1,TRUE
"tree",FALSE,100,0.970441384055134,0.85543997248022,0.928526645768025,0.903062810400234,0.785884890527495,0.00566028055870025,0.0301082620622164,0.0125551686241614,0.0126975465121503,0.028619773122919,TRUE,0.1,TRUE
"rules",FALSE,50,0.969248245236609,0.851817681458548,0.930721003134796,0.903228162430616,0.785959939445012,0.00618985243491333,0.0234666607833258,0.0143339953186558,0.0109491527085624,0.0240116160178976,FALSE,0.1,FALSE
"tree",FALSE,50,0.968904388175553,0.858264189886481,0.925329153605016,0.9019613538667,0.784020439475572,0.00627582561790532,0.0233181315962464,0.0157784249699438,0.0130793248317147,0.0284439406124989,FALSE,0.1,FALSE
"rules",FALSE,100,0.97004563624933,0.853460612315102,0.932100313479624,0.904699052627186,0.789173670833126,0.00596677388371888,0.0238159614134445,0.0148610098516552,0.0113426251156323,0.0248290313463683,FALSE,0.1,FALSE
"tree",FALSE,100,0.969862983415882,0.859316133470932,0.926708463949843,0.903227494678853,0.786745702726151,0.00601046016430467,0.0221071572607961,0.015742795648263,0.0135525407542917,0.0294129364397913,FALSE,0.1,FALSE
"rules",FALSE,50,0.96960111955468,0.849004471964224,0.935047021943574,0.905064897124494,0.789502221961841,0.00556679300737393,0.0234311393696736,0.0150544838939176,0.012942297723303,0.0284667358709968,TRUE,0.1,FALSE
"tree",FALSE,50,0.969504732388473,0.856639146886825,0.930407523510972,0.904698134468511,0.789498981450244,0.00566963526434356,0.0245406672644097,0.0159467029241065,0.012392274533356,0.0270835393848558,TRUE,0.1,FALSE
"rules",FALSE,100,0.970325322187391,0.850885448916409,0.935611285266458,0.906086223446434,0.79179344801472,0.00518397017049706,0.0228068873651963,0.0139792660893204,0.0109552064192765,0.0241633839328665,TRUE,0.1,FALSE
"tree",FALSE,100,0.970414835878805,0.855229446164431,0.929905956112853,0.903880889779225,0.787655778091407,0.00542462618963522,0.0234015332487551,0.0146044130580056,0.0111340847197937,0.0243978087968742,TRUE,0.1,FALSE
"rules",FALSE,50,0.970017314168697,0.850534571723426,0.934169278996865,0.905023579984141,0.789453095806114,0.00564779928563302,0.0318138678855237,0.0137738974466903,0.0122863240159715,0.0277830152459626,TRUE,0.25,FALSE
"tree",FALSE,50,0.969527779125729,0.855925008599931,0.928401253918495,0.903145110805058,0.786131068144489,0.00622462498719647,0.0296424172134568,0.0139957545447388,0.0126763912420677,0.0282924085512867,TRUE,0.25,FALSE
"rules",FALSE,100,0.970683979757002,0.851818369453044,0.935423197492163,0.906289887734235,0.792256093829293,0.00568562675676081,0.0295808038259448,0.0151071453590981,0.0126124339563645,0.0280854721544743,TRUE,0.25,FALSE
"tree",FALSE,100,0.970352414936166,0.858385964912281,0.929843260188088,0.904943115896665,0.790105951579782,0.00598053841670483,0.0291657472952686,0.0146610171318324,0.0128175607893343,0.0284591181880684,TRUE,0.25,FALSE
