"mtry","ROC","Sens","Spec","Accuracy","Kappa","ROCSD","SensSD","SpecSD","AccuracySD","KappaSD","variant"
1,0.975267445459182,0.879356725146199,0.935423197492163,0.915890739117733,0.814762167561944,0.00487177317711175,0.0249471903649221,0.0139331385455477,0.0119729439085695,0.0263689151592654,2
2,0.977191357365693,0.8781912624699,0.940877742946708,0.91903760277117,0.821245019931797,0.00459806407249746,0.0237513245893801,0.0146489745522096,0.011635432204608,0.0255087206913252,2
3,0.977835139049295,0.875850017199862,0.942633228840125,0.919364884604148,0.821710362724033,0.00470086154971792,0.0248322895033279,0.0138066189068231,0.0110645317769479,0.0244671718013742,2
4,0.977848331721183,0.879368421052632,0.943322884012539,0.921039856433371,0.825492558138451,0.0048205556611373,0.0245680184246767,0.0127271435151503,0.0112778487012716,0.0250294653655756,2
5,0.977840768095172,0.880302029583763,0.942633228840125,0.920916489295105,0.825317178062354,0.00483870678535633,0.0235888955277854,0.01268626553893,0.0110521732846146,0.0244499152909623,2
6,0.977754741824134,0.881007911936704,0.942382445141066,0.920999290513752,0.825567900767495,0.00488196385669754,0.022963018542143,0.0135076397550769,0.0115070472947356,0.0253049500736555,2
7,0.97774936727152,0.881593395252838,0.942570532915361,0.921325737657026,0.826287980284908,0.00494929373044542,0.0244380506224017,0.0137511648609843,0.0115662511587615,0.0255331772241484,2
8,0.977628467875078,0.882767801857585,0.942382445141066,0.921612370101415,0.826989600448924,0.00495046435965818,0.0223116911532256,0.0128689601800322,0.0114357406729965,0.0251667183873066,2
9,0.977403767578637,0.881130374957,0.941692789968652,0.920591544593297,0.824741701734019,0.00493581642871553,0.0226911156479668,0.0142462818814034,0.0121929820958464,0.0267015060406553,2
10,0.977362597901725,0.882652906776746,0.942570532915361,0.921694920913151,0.827167611789577,0.00493153078667625,0.0232601618531187,0.0142946259512835,0.0116102024408717,0.0254418275564204,2
