"committees","neighbors","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD","variant"
1,0,0.116129555866658,0.740198484775973,0.0572291296928799,0.00756294115336765,0.0292976189283281,0.00361594588961906,1
1,1,0.134468666656283,0.675009622592748,0.0665126285976668,0.00790536554899523,0.0287554507417935,0.00421020098647007,1
1,2,0.124676206468057,0.710364876241155,0.062639087213942,0.0071201251169938,0.0272712558168507,0.00358062562198693,1
1,5,0.117490925516617,0.736475494004604,0.0599369794973678,0.00749569805145085,0.0268998254477274,0.0037125983375232,1
1,9,0.115505810329991,0.743342017747056,0.059283160485466,0.00755959074025819,0.0276965883607309,0.0038034835719155,1
5,0,0.107058497340696,0.776092564886452,0.0536582575277966,0.00592817141276543,0.0227333778459286,0.00305519445655536,1
5,1,0.126314104989076,0.704102056936413,0.0628128261685795,0.00657928056030187,0.0269086368139795,0.00344714384206406,1
5,2,0.116699956140287,0.740003318507229,0.0591990457616398,0.00566797691649893,0.022979499769014,0.00299861296229391,1
5,5,0.109969939202027,0.765460606503569,0.0567344516948805,0.00581149605549926,0.020273920969265,0.00305815402315429,1
5,9,0.107985304514856,0.772836548096799,0.0561858200966832,0.00577987179369591,0.0206743917046888,0.00311694001624574,1
10,0,0.105910906775607,0.780715775711994,0.0533490935917707,0.00623734485147728,0.0239212706987356,0.00314097266938378,1
10,1,0.125555611355834,0.706854075502742,0.0623747564435981,0.00652088847637408,0.0257257511101823,0.00359276210017871,1
10,2,0.115896705256947,0.743039741387655,0.0588242235982402,0.00599957946294667,0.0234538462594169,0.00318299094093684,1
10,5,0.109068640145444,0.768942041813138,0.0564149310499224,0.00622985326415027,0.0221161863543042,0.00330368712296754,1
10,9,0.107006409720464,0.776695677060505,0.0558524048515884,0.00617729158840857,0.0223107902712367,0.00330842331184072,1
50,0,0.104869763168774,0.784980163287075,0.0529536372781765,0.00597823190743073,0.023344162674843,0.00302265451399084,1
50,1,0.124646404721634,0.709972621718487,0.061983642079948,0.00618679029090802,0.0243831610509405,0.00352186355055988,1
50,2,0.114910990068188,0.746602274475978,0.0583886801719424,0.00573981826390811,0.0229514432893405,0.00313632199041541,1
50,5,0.107995798196264,0.77303794508237,0.0559594763302477,0.00593133977234659,0.0216253393389607,0.00322053938028143,1
50,9,0.105906857669003,0.78099389016359,0.0553959335113702,0.00587045681064572,0.0218013997441672,0.00320925341649969,1
100,0,0.104732847446472,0.785520108015595,0.0528615255190023,0.00590974817598252,0.0233117385047943,0.00297388370140863,1
100,1,0.124557889741524,0.710369397187639,0.0619378798085679,0.0061962856150621,0.0241024729493985,0.00351293293811358,1
100,2,0.114786181035307,0.747110730146633,0.0583280628517399,0.00571697263443737,0.0229435666890336,0.00314754497373306,1
100,5,0.107865002391904,0.773547496452597,0.0558760005597189,0.00590590037389546,0.0217112703090611,0.00323930097866566,1
100,9,0.105768173055381,0.781539714326935,0.0552932814597255,0.00583066530792398,0.0218591856027043,0.00320914021195548,1
